epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.048,1.33054,9.29072,0.46277,1.02954,1.93864,0.77072,0.60323,0.69566,0.36265,0.01762,0.00651,0.00037,4e-05,2.02927,9.59606,0.23433,1.22139,2.25857,0.00332908,0.00332908,0.00332908
2,844.667,1.05589,6.861,0.21297,0.68147,1.57686,0.61584,0.62162,0.66314,0.30355,0.31596,0.07257,0.03402,0.00881,1.8663,9.35889,0.16984,1.37988,2.11049,0.006662,0.006662,0.006662
3,1244.11,1.17412,6.28088,0.17881,0.87472,1.69496,0.67528,0.3989,0.44967,0.22507,0.33607,0.09472,0.06606,0.02171,2.50161,9.04987,0.31233,2.38994,2.68836,0.0099933,0.0099933,0.0099933
4,1640,1.34873,7.18407,0.17751,1.23021,1.906,0.72699,0.53166,0.64225,0.32453,0.38151,0.13754,0.07846,0.02312,1.80957,8.6097,0.11653,1.55427,2.1029,0.0099945,0.0099945,0.0099945
5,2035.18,1.24044,6.69659,0.15629,1.0931,1.79421,0.70427,0.68931,0.77488,0.40566,0.42622,0.14364,0.11713,0.036,1.5508,8.41648,0.08304,1.22138,1.87852,0.00999023,0.00999023,0.00999023
6,2439.2,1.1643,5.8948,0.14309,0.941,1.70302,0.69717,0.68806,0.76478,0.37435,0.4568,0.16229,0.13997,0.04518,1.6097,7.50672,0.07725,1.21187,1.90959,0.00998474,0.00998474,0.00998474
7,2851.26,1.08571,5.24674,0.13691,0.83588,1.61492,0.80266,0.79292,0.87339,0.50528,0.53547,0.1982,0.18155,0.05865,1.32998,6.95547,0.07055,0.94306,1.66746,0.00997803,0.00997803,0.00997803
8,3239.47,1.02938,4.82426,0.13068,0.72152,1.54882,0.91314,0.91287,0.95593,0.57764,0.44463,0.30918,0.25137,0.07918,1.37767,5.92434,0.06489,0.70752,1.71314,0.00997011,0.00997011,0.00997011
9,3628.49,0.97054,4.53358,0.12609,0.65997,1.48311,0.92026,0.91141,0.95665,0.60713,0.43158,0.31419,0.25324,0.07743,1.26538,5.54861,0.06682,0.67654,1.57494,0.00996097,0.00996097,0.00996097
10,4012.19,0.9377,4.33738,0.12457,0.59352,1.45052,0.93176,0.90888,0.95808,0.57732,0.60362,0.47135,0.40418,0.1167,1.36424,5.16019,0.06726,0.67164,1.6635,0.00995062,0.00995062,0.00995062
11,4395.67,0.912,4.16853,0.12031,0.57083,1.42623,0.9174,0.91861,0.96274,0.59334,0.67017,0.53103,0.46607,0.14918,1.35824,4.96958,0.0687,0.6556,1.66259,0.00993906,0.00993906,0.00993906
12,4915.29,0.88564,4.02129,0.1197,0.54264,1.3977,0.93948,0.93241,0.96985,0.66031,0.63043,0.51546,0.44109,0.13939,1.15083,4.9252,0.06707,0.5845,1.47213,0.00992629,0.00992629,0.00992629
13,5354.12,0.86523,3.90257,0.116,0.52299,1.37718,0.94636,0.93293,0.9764,0.66461,0.7461,0.59639,0.56203,0.19681,1.18202,4.60512,0.06378,0.55726,1.50933,0.00991232,0.00991232,0.00991232
14,5737.19,0.84396,3.7799,0.1144,0.50018,1.35503,0.93434,0.93318,0.97431,0.63216,0.6525,0.53779,0.45631,0.1493,1.27292,4.56117,0.06866,0.57699,1.59222,0.00989715,0.00989715,0.00989715
15,6110.12,0.84011,3.68062,0.1124,0.49472,1.35585,0.94465,0.93329,0.97613,0.6613,0.7276,0.60073,0.5615,0.18529,1.18094,4.64132,0.06756,0.55814,1.51865,0.00988079,0.00988079,0.00988079
16,6474.9,0.8146,3.59598,0.11108,0.47417,1.32565,0.94765,0.93869,0.9762,0.62521,0.52592,0.46747,0.35238,0.13058,1.31391,4.94952,0.06999,0.56932,1.65589,0.00986323,0.00986323,0.00986323
17,6845.07,0.80099,3.44933,0.11025,0.46606,1.31859,0.94844,0.94598,0.97832,0.69022,0.59309,0.52015,0.39479,0.12126,1.10323,4.63924,0.06985,0.52377,1.44302,0.00984449,0.00984449,0.00984449
18,7227.66,0.7859,3.36038,0.10863,0.45841,1.30395,0.94953,0.94945,0.97976,0.72852,0.6427,0.5508,0.47791,0.15083,0.98016,4.6263,0.07259,0.50213,1.32283,0.00982456,0.00982456,0.00982456
19,7625.52,0.77543,3.32508,0.10762,0.44479,1.29229,0.95276,0.9452,0.97782,0.74056,0.57971,0.51016,0.40553,0.13957,0.91713,4.84052,0.06605,0.47928,1.27492,0.00980345,0.00980345,0.00980345
20,8016.99,0.76838,3.30866,0.10537,0.44208,1.28781,0.95546,0.95445,0.98244,0.73597,0.75142,0.63771,0.60632,0.20785,0.96528,4.26498,0.06428,0.47836,1.30938,0.00978118,0.00978118,0.00978118
21,8400.82,0.76272,3.24997,0.10499,0.44144,1.28505,0.94978,0.9527,0.98044,0.70845,0.81478,0.6793,0.67806,0.28836,1.04318,3.89704,0.0663,0.48562,1.36482,0.00975773,0.00975773,0.00975773
